nom_de_la_commune;code_postal;Libelle_d_acheminement;
L ABERGEMENT CLEMENCIAT;01400;L ABERGEMENT CLEMENCIAT;
L ABERGEMENT DE VAREY;01640;L ABERGEMENT DE VAREY;
AMBERIEU EN BUGEY;01500;AMBERIEU EN BUGEY;
AMBERIEUX EN DOMBES;01330;AMBERIEUX EN DOMBES;
AMBLEON;01300;AMBLEON;
AMBRONAY;01500;AMBRONAY;
AMBUTRIX;01500;AMBUTRIX;
ANDERT ET CONDON;01300;ANDERT ET CONDON;
ANGLEFORT;01350;ANGLEFORT;
APREMONT;01100;APREMONT;
ARANC;01110;ARANC;
ARANDAS;01230;ARANDAS;
ARBENT;01100;ARBENT;
ARBOYS EN BUGEY;01300;ARBOYS EN BUGEY;ARBIGNIEU
ARBOYS EN BUGEY;01300;ARBOYS EN BUGEY;ST BOIS
ARBIGNY;01190;ARBIGNY;
ARGIS;01230;ARGIS;
ARMIX;01510;ARMIX;
ARS SUR FORMANS;01480;ARS SUR FORMANS;
ARTEMARE;01510;ARTEMARE;
ASNIERES SUR SAONE;01570;ASNIERES SUR SAONE;
ATTIGNAT;01340;ATTIGNAT;
BAGE DOMMARTIN;01380;BAGE DOMMARTIN;BAGE LA VILLE
BAGE DOMMARTIN;01380;BAGE DOMMARTIN;DOMMARTIN
BAGE LE CHATEL;01380;BAGE LE CHATEL;
BALAN;01360;BALAN;
BANEINS;01990;BANEINS;
BEAUPONT;01270;BEAUPONT;
BEAUREGARD;01480;BEAUREGARD;
BELLIGNAT;01100;BELLIGNAT;
BELIGNEUX;01360;BELIGNEUX;
BELIGNEUX;01360;BELIGNEUX;CAMP DE LA VALBONNE
BELIGNEUX;01360;BELIGNEUX;CHANES
BELIGNEUX;01360;BELIGNEUX;LA VALBONNE
VALSERHONE;01200;VALSERHONE;BELLEGARDE SUR VALSERINE
VALSERHONE;01200;VALSERHONE;CHATILLON EN MICHAILLE
VALSERHONE;01200;VALSERHONE;LANCRANS
VALSERHONE;01200;VALSERHONE;OCHIAZ
VALSERHONE;01200;VALSERHONE;VOUVRAY
BELLEY;01300;BELLEY;
BELLEYDOUX;01130;BELLEYDOUX;
VALROMEY SUR SERAN;01260;VALROMEY SUR SERAN;BELMONT LUTHEZIEU
VALROMEY SUR SERAN;01260;VALROMEY SUR SERAN;CHARANCIN
VALROMEY SUR SERAN;01260;VALROMEY SUR SERAN;FITIGNIEU
VALROMEY SUR SERAN;01260;VALROMEY SUR SERAN;LOMPNIEU
VALROMEY SUR SERAN;01260;VALROMEY SUR SERAN;LUTHEZIEU
VALROMEY SUR SERAN;01260;VALROMEY SUR SERAN;SUTRIEU
VALROMEY SUR SERAN;01260;VALROMEY SUR SERAN;VIEU
BENONCES;01470;BENONCES;
BENY;01370;BENY;
BEREZIAT;01340;BEREZIAT;
BETTANT;01500;BETTANT;
BEY;01290;BEY;
BEYNOST;01700;BEYNOST;
BILLIAT;01200;BILLIAT;
BIRIEUX;01330;BIRIEUX;
BIZIAT;01290;BIZIAT;
BLYES;01150;BLYES;
LA BOISSE;01120;LA BOISSE;
BOISSEY;01190;BOISSEY;
BOISSEY;01380;BOISSEY;
BOLOZON;01450;BOLOZON;
BOULIGNEUX;01330;BOULIGNEUX;
BOURG EN BRESSE;01000;BOURG EN BRESSE;
BOURG EN BRESSE;01000;BOURG EN BRESSE;BROU
BOURG ST CHRISTOPHE;01800;BOURG ST CHRISTOPHE;
BOURG ST CHRISTOPHE;01800;BOURG ST CHRISTOPHE;MARFOZ
BOYEUX ST JEROME;01640;BOYEUX ST JEROME;
BOZ;01190;BOZ;
BREGNIER CORDON;01300;BREGNIER CORDON;
BRENOD;01110;BRENOD;
BRENS;01300;BRENS;
BRESSOLLES;01360;BRESSOLLES;
BRESSOLLES;01360;BRESSOLLES;LA LECHERE
BRION;01460;BRION;
BRIORD;01470;BRIORD;
BUELLAS;01310;BUELLAS;
BUELLAS;01310;BUELLAS;CORGENON
LA BURBANCHE;01510;LA BURBANCHE;
CEIGNES;01430;CEIGNES;
CERDON;01450;CERDON;
CERTINES;01240;CERTINES;
CESSY;01170;CESSY;
CEYZERIAT;01250;CEYZERIAT;
CEYZERIEU;01350;CEYZERIEU;
CHALAMONT;01320;CHALAMONT;
CHALEINS;01480;CHALEINS;
